police_station,junction_name,grid_lat,grid_lon,hour_sin,hour_cos,day_sin,day_cos,police_station_freq,junction_name_freq,vehicle_mass_impact,prev_hour_impact,prev_2hour_impact,predicted_impact,actual_impact
K.R. Pura,No Junction,13.008,77.6907,0.9659258262890683,0.25881904510252074,-0.433883739117558,-0.9009688679024191,0.024632685746117957,0.5119768818327415,2.0,0.0,0.0,1.7565576,1.2
HAL Old Airport,No Junction,12.9663,77.7183,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.063818675579695,0.5119768818327415,0.5,1.2,0.0,1.0624237,1.2
City Market,BTP043 - Upparpet Junction,12.9707,77.5761,0.0,1.0,0.9749279121818236,-0.22252093395631434,0.06268713877863659,0.006475872153749739,1.0,1.2,1.2,1.2307798,1.2
Shivajinagar,BTP051 - Safina Plaza Junction,12.9808,77.6101,0.8660254037844386,0.5000000000000001,0.0,1.0,0.08265441125269828,0.04388621962258896,1.0,1.2,1.2,1.2951103,1.2
Kodigehalli,No Junction,13.0633,77.5915,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,0.031578580878768886,0.5119768818327415,1.0,0.0,0.0,1.3360382,1.5
Malleshwaram,No Junction,12.9964,77.5686,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.08923473295731495,0.5119768818327415,2.0,0.0,0.0,1.232429,1.0
Sheshadripuram,No Junction,12.9894,77.572,0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,0.01027087250191491,0.5119768818327415,2.0,0.0,0.0,1.3017137,1.2
Malleshwaram,"BTP001 - 10th Cross, Dr. Rajkumar Road",13.0024,77.5533,0.0,1.0,0.43388373911755823,-0.900968867902419,0.08923473295731495,0.00981825778149154,2.0,0.0,0.0,1.2137042,1.2
Adugodi,BTP134 - Mico Bande,12.9435,77.6029,0.9659258262890683,0.25881904510252074,0.43388373911755823,-0.900968867902419,0.0157544739224288,0.00013926606782257503,1.0,0.0,0.0,1.2882736,1.2
Yeshwanthpura,No Junction,13.0273,77.5414,0.0,1.0,-0.7818314824680299,0.6234898018587334,0.008181881484576284,0.5119768818327415,2.0,0.0,0.0,1.3664277,1.0
Malleshwaram,BTP023 - Mahalaxmi Layout Entrance,13.0076,77.5488,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.08923473295731495,0.007050344683517861,2.0,5.0,8.7,2.1364193,5.0
Chikkabanavara,No Junction,13.055,77.5075,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.00342942692013091,0.5119768818327415,2.0,0.0,0.0,1.0788069,1.0
HAL Old Airport,No Junction,12.9595,77.7008,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336,0.063818675579695,0.5119768818327415,2.0,0.0,0.0,1.4670577,1.5
Chamarajpet,"BTP083 - AS Char Street, Mysore Road",12.9682,77.5748,0.7071067811865475,0.7071067811865476,-0.9749279121818236,-0.2225209339563146,0.013299909477055916,0.011924657057307986,1.0,1.0,1.2,1.2044046,1.9999999999999996
Jeevanbheemanagar,No Junction,12.9597,77.6488,0.7071067811865475,0.7071067811865476,0.7818314824680298,0.6234898018587336,0.021464382703154376,0.5119768818327415,1.0,1.0,1.0,1.347966,2.5
City Market,BTP082 - KR Market Junction,12.9644,77.5785,0.9659258262890683,0.25881904510252074,-0.9749279121818236,-0.2225209339563146,0.06268713877863659,0.03944711371074438,0.5,0.0,0.0,1.1529436,1.0
City Market,BTP167 - JC Road Junction,12.959,77.5793,0.0,1.0,0.7818314824680298,0.6234898018587336,0.06268713877863659,0.001723417589304366,0.5,0.0,0.0,1.1514009,1.2
Thalagattapura,No Junction,12.8833,77.5489,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.0032379360768748696,0.5119768818327415,2.0,0.0,0.0,1.1629864,1.0
HAL Old Airport,No Junction,12.9566,77.7041,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,0.063818675579695,0.5119768818327415,1.0,1.0,0.0,1.1619401,1.0
Basavanagudi,BTP108 - Tagore Park Junction,12.9427,77.5712,1.0,6.123233995736766e-17,0.0,1.0,0.018417937469535548,0.008843395306733514,0.5,2.4,2.4,1.1952275,1.2
Malleshwaram,No Junction,13.0118,77.552,0.7071067811865475,0.7071067811865476,0.0,1.0,0.08923473295731495,0.5119768818327415,1.0,1.2,1.2,1.1471457,1.2
Byatarayanapura,No Junction,12.9574,77.5186,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,0.016433396003063854,0.5119768818327415,2.0,0.0,0.0,2.0113292,1.2
Vijayanagara,"BTP016 - 5th Main Road, RPC Layout",12.9663,77.5347,-0.5000000000000004,0.8660254037844384,0.0,1.0,0.048238284242044425,0.007050344683517861,0.5,4.8,1.2,1.1902993,1.2
Malleshwaram,No Junction,13.0124,77.5539,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.08923473295731495,0.5119768818327415,0.5,1.2,0.0,1.1200635,1.2
City Market,"BTP080 - NR Road, SP Road Junction",12.9633,77.581,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.06268713877863659,0.014762203189192953,1.0,2.4,1.2,1.3382629,2.4
Malleshwaram,"BTP182 - 19th Main Junction, Rajajinagar",12.9997,77.5507,0.25881904510252074,0.9659258262890683,0.0,1.0,0.08923473295731495,0.005692500522247754,2.0,0.0,0.0,1.1939559,1.2
Shivajinagar,BTP051 - Safina Plaza Junction,12.982,77.6104,0.9659258262890683,0.25881904510252074,-0.433883739117558,-0.9009688679024191,0.08265441125269828,0.04388621962258896,1.0,0.0,0.0,1.1654049,1.0
Mahadevapura,No Junction,13.0003,77.6772,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336,0.021986630457489033,0.5119768818327415,1.0,2.5,0.0,1.6368065,1.2
Jeevanbheemanagar,No Junction,12.9594,77.6489,-0.7071067811865477,0.7071067811865474,0.43388373911755823,-0.900968867902419,0.021464382703154376,0.5119768818327415,2.0,0.0,0.0,1.2833046,1.0
Kodigehalli,No Junction,13.0436,77.5843,0.0,1.0,-0.7818314824680299,0.6234898018587334,0.031578580878768886,0.5119768818327415,2.0,1.0,0.0,1.3177685,1.0
Adugodi,No Junction,12.933,77.6312,1.0,6.123233995736766e-17,0.0,1.0,0.0157544739224288,0.5119768818327415,3.0,1.0,0.0,2.6576188,1.9999999999999996
Byatarayanapura,"BTP095 - Satellite Bus Stand, Mysore Road",12.9536,77.5427,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0.016433396003063854,0.002628647030151104,3.0,0.0,0.0,3.3360617,3.599999999999999
Basavanagudi,BTP108 - Tagore Park Junction,12.9442,77.5729,-0.25881904510252157,0.9659258262890681,0.43388373911755823,-0.900968867902419,0.018417937469535548,0.008843395306733514,2.0,0.0,0.0,1.1158241,1.0
Halasuru Gate,BTP038 - Mysore Bank Junction,12.9689,77.5807,0.7071067811865475,0.7071067811865476,-0.7818314824680299,0.6234898018587334,0.025520506928486873,0.004943945407701413,1.5,1.2,0.0,2.519374,2.4
Shivajinagar,BTP051 - Safina Plaza Junction,12.9817,77.6104,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,0.08265441125269828,0.04388621962258896,2.0,1.0,3.5999999999999996,1.2284427,1.2
Vijayanagara,BTP214 - 5th Main Chamrajpet  Junction,12.9741,77.5298,-0.7071067811865477,0.7071067811865474,0.0,1.0,0.048238284242044425,0.0006092890467237658,2.0,0.0,0.0,1.7668397,1.2
City Market,BTP082 - KR Market Junction,12.9669,77.5781,0.0,1.0,-0.433883739117558,-0.9009688679024191,0.06268713877863659,0.03944711371074438,0.5,1.2,0.0,1.1678877,1.2
Madiwala,No Junction,12.9117,77.6258,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.00788594109045331,0.5119768818327415,1.0,3.0,0.0,1.3534608,1.2
Rajajinagar,"BTP170 - Dr. Bheem Rao Palace, Chord Road",12.9889,77.5514,-0.25881904510252157,0.9659258262890681,0.0,1.0,0.03814149432490774,0.002611238771673282,2.0,0.0,0.0,1.422484,1.2
Jeevanbheemanagar,No Junction,12.9717,77.658,0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,0.021464382703154376,0.5119768818327415,1.0,1.8,3.0,1.2762892,1.0
Upparpet,BTP044 - Sagar Theatre Junction,12.9734,77.5793,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,0.1027261332776269,0.03302346633242811,1.0,0.0,0.0,1.1996244,1.0
Shivajinagar,BTP051 - Safina Plaza Junction,12.9831,77.6063,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0.08265441125269828,0.04388621962258896,4.5,0.0,0.0,5.200745,5.800000000000001
Kamakshipalya,No Junction,12.9897,77.5077,1.0,6.123233995736766e-17,0.0,1.0,0.005083211475523989,0.5119768818327415,1.0,0.0,0.0,1.1496629,2.4
